DATABASE MEMBERSHIP MITRA P1 2024,,, ,,,,,,,,,,,,,,,,,,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,,,,,,,,,,,
,, , , ,P1 2025,,,,,,,,,,,,,,,,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,,,,,,,,,,,,,,,P2 2025
NPK,NAMA,FUNGSI,FIRST SLOT,MONTH SLOT,TOKEN TERSISA,STATUS KEMITRAAN,,,,,,,SLOT AKUMULASI,,,,,,,TOTAL SLOT,SLOT REGULER,,,,,,,TOTAL SLOT REGULER,CEK DOWNGRADE,DOWNGRADE?,RESET?,TOKEN,GRADING,JENIS MEMBERSHIP,STATUS RESIGN,REEDEM P2 2025,BISA REDEEM?,FORM COMMITMENT,START,TODAY,USIA TOKEN,TOKEN TERSISA
,,,,,,P2 JUN,JUL,AUG,SEP,OKT,NOV,P1 DES,P2 JUN,JUL,AUG,SEP,OKT,NOV,P1 DES,,P2 JUN,JUL,AUG,SEP,OKT,NOV,P1 DES,,,,,,,,,,,,,,,
1,A,TEMA C2,31-07-23,Jul-23,138,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,-,25,51,51,50,53,49,26,305,0,0,0,0,0,0,26,26,0,TIDAK,TIDAK,138,,#REF!,,0,Y,,,,,138
2,B,SBPV,,,8,-,REGULER,REGULER,REGULER,REGULER,REGULER,-,13,27,25,25,26,25,13,154,13,27,25,25,26,25,13,154,0,TIDAK,TIDAK,162,,#REF!,,0,Y,,,,,162
3,C,AAV,,,60,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,-,24,55,54,49,54,47,26,309,0,0,0,0,0,0,26,26,0,TIDAK,TIDAK,60,,#REF!,,0,FALSE,,,,,60
4,D,AAV,,,219,-,REGULER,REGULER,REGULER,REGULER,REGULER,-,13,37,21,1,3,5,3,83,13,37,21,1,3,5,3,83,0,TIDAK,TIDAK,302,,#REF!,,0,Y,,,,,302
5,E,TEMA HAJI,,,22,-,REGULER,REGULER,REGULER,REGULER,REGULER,-,22,50,26,35,41,32,14,220,22,50,26,35,41,32,14,220,0,TIDAK,TIDAK,244,,#REF!,,0,Y,,,,,244
6,F,TEMA PRIODANA,,,12,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,DOWNGRADE,RESET,0,,#REF!,,0,FALSE,,,,,0
7,G,TEMA C1,,,124,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,DOWNGRADE,RESET,0,,#REF!,,0,FALSE,,,,,0
8,H,AAV,,,160,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,-,24,54,51,49,45,52,26,301,0,0,0,0,0,0,26,26,0,TIDAK,TIDAK,160,,#REF!,,0,Y,,,,,160
9,I,AAV,26-06-21,Jun-21,147,-,REGULER,REGULER,REGULER,REGULER,REGULER,-,5,31,29,36,31,29,17,178,5,31,29,36,31,29,17,178,0,TIDAK,TIDAK,325,,#REF!,,0,Y,,,,,325
10,J,CSA SEVA,,,466,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,DOWNGRADE,RESET,0,,#REF!,,0,FALSE,,,,,0
11,K,CSA SEVA,,,76,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,EKSKLUSIF,-,26,54,54,50,54,51,26,315,0,0,0,0,0,0,26,26,0,TIDAK,TIDAK,76,,#REF!,,0,Y,,,,,76
12,L,CSA SEVA,,,202,-,REGULER,REGULER,REGULER,REGULER,REGULER,-,13,20,25,13,22,21,19,133,13,20,25,13,22,21,19,133,0,TIDAK,TIDAK,335,,#REF!,,0,Y,,,,,335
13,M,CSA SEVA,,,52,-,REGULER,REGULER,REGULER,REGULER,REGULER,-,9,21,12,2,6,1,0,51,9,21,12,2,6,1,0,51,1,TIDAK,TIDAK,103,,#REF!,,0,Y,,,,,103
14,Z,AAV,,,,,REGULER,REGULER,REGULER,REGULER,-,-,0,17,47,28,12,0,0,104,,17,47,28,12,0,0,104,3,DOWNGRADE,TIDAK,51,,#REF!,,0,FALSE,,,,,51
15,O,AAV,,,,,REGULER,REGULER,-,-,-,-,0,14,22,0,0,0,0,36,,14,22,0,0,0,0,36,5,DOWNGRADE,RESET,0,,#REF!,,0,FALSE,,,,,0
16,P,AAV,,,,,REGULER,REGULER,REGULER,-,-,-,0,12,27,7,0,0,0,46,,12,27,7,0,0,0,46,4,DOWNGRADE,RESET,0,,#REF!,,0,FALSE,,,,,0
17,Q,AAV,,,,,,REGULER,REGULER,REGULER,REGULER,-,,0,1,2,4,10,0,17,,0,1,2,4,10,0,17,3,DOWNGRADE,TIDAK,7.5,,#REF!,,0,Y,,,,,#VALUE!
18,R,AAV,,,,,,REGULER,REGULER,REGULER,REGULER,-,,0,14,25,36,29,21,125,,0,14,25,36,29,21,125,2,TIDAK,TIDAK,125,,#REF!,,0,Y,,,,,125
19,S,AAV,,,,,,REGULER,REGULER,REGULER,REGULER,-,,0,9,15,33,26,11,94,,0,9,15,33,26,11,94,2,TIDAK,TIDAK,94,,#REF!,,0,Y,,,,,94
